name,lon,lat,variable,initmonth,leadtime,mean,stdev,pval
44_41,44.0,41.0,tmx,6,0,19.3453426361084,1.3763766288757324,0.0245068632066249
44_41,44.0,41.0,tmx,6,1,22.51676368713379,1.44614839553833,0.901462972164154
44_41,44.0,41.0,tmx,6,2,23.01353073120117,1.5738691091537476,0.1562510430812835
44_41,44.0,41.0,tmx,6,3,19.23711395263672,1.6043742895126345,0.477887213230133
44_41,44.0,41.0,tmx,6,4,13.702486991882324,1.851851463317871,0.1103777289390564
44_41,44.0,41.0,tmx,6,5,5.6923508644104,2.2895469665527344,0.4940537512302398
44_41,44.0,41.0,tmx,6,6,-1.3966500759124756,2.4322612285614014,0.8777896165847778
44_41,44.0,41.0,tmx,7,0,22.228281021118164,1.366634964942932,0.901462972164154
44_41,44.0,41.0,tmx,7,1,22.9162654876709,1.4651495218276978,0.1562510430812835
44_41,44.0,41.0,tmx,7,2,19.188888549804688,1.6021792888641355,0.477887213230133
44_41,44.0,41.0,tmx,7,3,13.586347579956056,1.9998435974121092,0.1103777289390564
44_41,44.0,41.0,tmx,7,4,5.578492164611816,2.412470817565918,0.4940537512302398
44_41,44.0,41.0,tmx,7,5,-1.2231191396713257,2.316969871520996,0.8777896165847778
44_41,44.0,41.0,tmx,7,6,-3.643335103988648,2.072061538696289,0.9254112243652344
44_41,44.0,41.0,tmx,8,0,22.82424545288086,1.601103663444519,0.1562510430812835
44_41,44.0,41.0,tmx,8,1,19.260234832763672,1.602166771888733,0.477887213230133
44_41,44.0,41.0,tmx,8,2,13.723451614379885,1.7713901996612549,0.1103777289390564
44_41,44.0,41.0,tmx,8,3,5.821290016174316,2.4261345863342285,0.4940537512302398
44_41,44.0,41.0,tmx,8,4,-1.013216495513916,2.4406533241271973,0.8777896165847778
44_41,44.0,41.0,tmx,8,5,-3.71523118019104,2.170096635818481,0.9254112243652344
44_41,44.0,41.0,tmx,8,6,-1.977176547050476,2.049713134765625,0.5114526152610779
44_41,44.0,41.0,tmx,9,0,19.64998358763532,2.866579941949388,0.477887213230133
44_41,44.0,41.0,tmx,9,1,15.027158824351776,5.032188309130783,0.1103777289390564
44_41,44.0,41.0,tmx,9,2,8.020998193158054,6.724577862557369,0.4940537512302398
44_41,44.0,41.0,tmx,9,3,1.7028920653526054,8.018635633229014,0.8777896165847778
44_41,44.0,41.0,tmx,9,4,-0.9429982001626472,8.721857844478032,0.9254112243652344
44_41,44.0,41.0,tmx,9,5,0.3940076790076704,8.286162643107717,0.5114526152610779
44_41,44.0,41.0,tmx,9,6,4.521758527306142,7.067368019982744,0.2688401043415069
44_41,44.0,41.0,tmx,10,0,13.596333003893587,4.065559830997662,0.1103777289390564
44_41,44.0,41.0,tmx,10,1,6.688651163403256,5.413345911630976,0.4940537512302398
44_41,44.0,41.0,tmx,10,2,0.0634264453432553,6.333081539988419,0.8777896165847778
44_41,44.0,41.0,tmx,10,3,-2.3613958973197997,6.5981418553105415,0.9254112243652344
44_41,44.0,41.0,tmx,10,4,-1.0014806181250635,6.398679225288063,0.5114526152610779
44_41,44.0,41.0,tmx,10,5,3.238874013957752,5.618454556323993,0.2688401043415069
44_41,44.0,41.0,tmx,10,6,9.829644679499197,4.349448796777523,0.9055399298667908
44_41,44.0,41.0,tmx,11,0,6.653048559378999,5.261047159758509,0.4940537512302398
44_41,44.0,41.0,tmx,11,1,0.1644301551057353,6.292506391485079,0.8777896165847778
44_41,44.0,41.0,tmx,11,2,-2.4026889278655035,6.519570560673486,0.9254112243652344
44_41,44.0,41.0,tmx,11,3,-0.8548941479907701,6.286294057379956,0.5114526152610779
44_41,44.0,41.0,tmx,11,4,3.485608006986008,5.4368586577450015,0.2688401043415069
44_41,44.0,41.0,tmx,11,5,9.8743876506782,4.19839790904886,0.9055399298667908
44_41,44.0,41.0,tmx,11,6,15.776158764953928,2.570248209736965,0.1482055783271789
44_41,44.0,41.0,tmx,12,0,0.5015642846972914,6.2535678858192405,0.8777896165847778
44_41,44.0,41.0,tmx,12,1,-2.407070831540346,6.718758766842442,0.9254112243652344
44_41,44.0,41.0,tmx,12,2,-0.918754405765024,6.310867334799826,0.5114526152610779
44_41,44.0,41.0,tmx,12,3,3.2827119154056428,5.504444867676411,0.2688401043415069
44_41,44.0,41.0,tmx,12,4,9.79015850323126,4.127022342730882,0.9055399298667908
44_41,44.0,41.0,tmx,12,5,15.774232506867422,2.5360872663549694,0.1482055783271789
44_41,44.0,41.0,tmx,12,6,19.673242421925604,1.709197174216136,0.0245068632066249
44_41,44.0,41.0,tmn,1,0,-13.670148849487305,2.038460731506348,0.4234767258167267
44_41,44.0,41.0,tmn,1,1,-12.595048904418944,2.185166120529175,0.0939383283257484
44_41,44.0,41.0,tmn,1,2,-8.47571849822998,1.9442119598388672,0.8790660500526428
44_41,44.0,41.0,tmn,1,3,-2.924823760986328,1.667696237564087,0.1039074435830116
44_41,44.0,41.0,tmn,1,4,3.2973365783691406,1.317672848701477,0.2659484148025512
44_41,44.0,41.0,tmn,1,5,7.786258697509766,1.1834505796432495,0.0182376708835363
